,MBSF,TEX86,paleolat,paleolon
33,801.19,0.873056567,-2.58059,-9.18299
34,801.39,0.884001557,-2.58059,-9.18299
35,801.56,0.88729171,-2.58059,-9.18299
36,802.67,0.878483474,-2.58059,-9.18299
37,802.8,0.908458244,-2.58059,-9.18299
38,802.86,0.903503554,-2.58059,-9.18299
39,802.94,0.907055823,-2.58059,-9.18299
40,803.0,0.924673784,-2.58059,-9.18299
41,803.07,0.959520725,-2.58059,-9.18299
42,803.18,0.960171536,-2.58059,-9.18299
43,803.29,0.959554928,-2.58059,-9.18299
44,803.36,0.954283361,-2.58059,-9.18299
45,803.42,0.958100688,-2.58059,-9.18299
46,803.47,0.957184557,-2.58059,-9.18299
47,803.53,0.961223822,-2.58059,-9.18299
48,803.58,0.958114323,-2.58059,-9.18299
49,803.75,0.962301587,-2.58059,-9.18299
50,803.76,0.963440591,-2.58059,-9.18299
51,803.78,0.967215871,-2.58059,-9.18299
52,803.79,0.965338554,-2.58059,-9.18299
53,803.88,0.958493118,-2.58059,-9.18299
54,803.97,0.961240923,-2.58059,-9.18299
55,804.0,0.964142283,-2.58059,-9.18299
56,804.07,0.964677249,-2.58059,-9.18299
57,804.13,0.872839016,-2.84123,-9.31528
58,804.18,0.884082169,-2.84123,-9.31528
59,804.2,0.857804729,-2.84123,-9.31528
60,804.23,0.86395666,-2.84123,-9.31528
61,804.41,0.855595668,-2.84123,-9.31528
62,804.47,0.856575878,-2.84123,-9.31528
63,804.48,0.857958148,-2.84123,-9.31528
64,804.52,0.835780831,-2.84123,-9.31528
65,804.55,0.842406821,-2.84123,-9.31528
66,804.61,0.837138905,-2.84123,-9.31528
67,804.89,0.826229508,-2.84123,-9.31528
68,805.04,0.834876917,-2.84123,-9.31528
69,805.13,0.845355731,-2.84123,-9.31528
70,805.22,0.833035606,-2.84123,-9.31528
71,805.41,0.831108252,-2.84123,-9.31528
72,805.58,0.824506019,-2.84123,-9.31528
